,strategy,benchmark
2025-07-19 00:00:00+00:00,100000.0,100000.0
2025-07-20 00:00:00+00:00,100000.0,99925.99299507927
2025-07-21 00:00:00+00:00,100000.0,99379.58101745351
2025-07-22 00:00:00+00:00,100000.0,99570.74210653758
2025-07-23 00:00:00+00:00,100000.0,101666.9773885208
2025-07-24 00:00:00+00:00,100000.0,100542.51627372751
2025-07-25 00:00:00+00:00,100000.0,100309.7650586958
2025-07-26 00:00:00+00:00,100000.0,99620.18622384139
2025-07-27 00:00:00+00:00,100000.0,99975.07876645411
2025-07-28 00:00:00+00:00,100000.0,101211.95031189204
2025-07-29 00:00:00+00:00,100000.0,100012.16670877115
2025-07-30 00:00:00+00:00,100000.0,99885.04201471663
2025-07-31 00:00:00+00:00,100000.0,99868.03360058152
2025-08-01 00:00:00+00:00,100000.0,98060.03505371099
2025-08-02 00:00:00+00:00,100000.0,95970.51957370088
2025-08-03 00:00:00+00:00,100000.0,95394.44627918348
2025-08-04 00:00:00+00:00,100000.0,96787.9728671812
2025-08-05 00:00:00+00:00,100000.0,97584.29870346878
2025-08-06 00:00:00+00:00,100000.0,96728.00489746625
2025-08-07 00:00:00+00:00,100000.0,97485.48405539496
2025-08-08 00:00:00+00:00,100000.0,99554.64291473971
2025-08-09 00:00:00+00:00,100000.0,98897.71029432502
2025-08-10 00:00:00+00:00,100000.0,98746.60910663487
2025-08-11 00:00:00+00:00,100000.0,101083.13410755128
2025-08-12 00:00:00+00:00,100000.0,100665.19194074714
2025-08-13 00:00:00+00:00,100000.0,101876.09795105827
2025-08-14 00:00:00+00:00,100000.0,104722.51609127504
2025-08-15 00:00:00+00:00,100000.0,100353.12558127739
2025-08-16 00:00:00+00:00,100000.0,99449.81732536296
2025-08-17 00:00:00+00:00,100000.0,99586.63067645008
2025-08-18 00:00:00+00:00,100000.0,99621.90545855036
2025-08-19 00:00:00+00:00,100000.0,98531.61340412023
2025-08-20 00:00:00+00:00,100000.0,95583.82208064252
2025-08-21 00:00:00+00:00,100000.0,96833.13632432005
2025-08-22 00:00:00+00:00,100000.0,95275.36525265701
2025-08-23 00:00:00+00:00,100000.0,99021.35141013382
2025-08-24 00:00:00+00:00,100000.0,97771.85638809863
2025-08-25 00:00:00+00:00,100000.0,96110.31515923799
2025-08-26 00:00:00+00:00,100000.0,93386.16673215842
2025-08-27 00:00:00+00:00,100000.0,94790.83691587867
2025-08-28 00:00:00+00:00,100000.0,94259.74886557006
2025-08-29 00:00:00+00:00,100000.0,95369.60927847054
2025-08-30 00:00:00+00:00,100000.0,91941.075627356
2025-08-31 00:00:00+00:00,100000.0,92196.73568826994
2025-09-01 00:00:00+00:00,100000.0,91748.7307094705
2025-09-02 00:00:00+00:00,100000.0,92519.41701689732
2025-09-03 00:00:00+00:00,100000.0,94237.7953702858
2025-09-04 00:00:00+00:00,100000.0,94679.64835196175
2025-09-05 00:00:00+00:00,100000.0,93843.31289188018
2025-09-06 00:00:00+00:00,100000.0,93790.29500081508
