,BNB,BTC,ETH,SOL
2025-11-16 00:00:00+00:00,1.0,,,
2025-11-26 00:00:00+00:00,1.0,,,
2025-12-01 00:00:00+00:00,1.0,,,
2025-12-06 00:00:00+00:00,1.0,,,
2026-05-05 00:00:00+00:00,,0.5,0.5,
2026-05-10 00:00:00+00:00,,0.3333333333333333,0.3333333333333333,0.3333333333333333
2026-05-15 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333,
2026-05-20 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333,
2026-05-25 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333,
2026-05-30 00:00:00+00:00,0.3333333333333333,0.3333333333333333,0.3333333333333333,
2026-07-04 00:00:00+00:00,,,,1.0
