,strategy,benchmark
2019-01-02 00:00:00+00:00,100000.0,100000.0
2019-01-03 00:00:00+00:00,100000.0,97613.7332548097
2019-01-04 00:00:00+00:00,100000.0,100883.37726538938
2019-01-07 00:00:00+00:00,100000.0,101678.80405903017
2019-01-08 00:00:00+00:00,100000.0,102634.10981100466
2019-01-09 00:00:00+00:00,100000.0,103113.76032173782
2019-01-10 00:00:00+00:00,100000.0,103477.50029214556
2019-01-11 00:00:00+00:00,100000.0,103517.48025852803
2019-01-14 00:00:00+00:00,100000.0,102885.91405698072
2019-01-15 00:00:00+00:00,100000.0,104065.09807568458
2019-01-16 00:00:00+00:00,100000.0,104316.90232166064
2019-01-17 00:00:00+00:00,100000.0,105108.34748154166
2019-01-18 00:00:00+00:00,100000.0,106507.3258652247
2019-01-22 00:00:00+00:00,100000.0,105068.3470615611
2019-01-23 00:00:00+00:00,100000.0,105288.18915160248
2019-01-24 00:00:00+00:00,100000.0,105344.15701381832
2019-01-25 00:00:00+00:00,100000.0,106235.51118245932
2019-01-28 00:00:00+00:00,100000.0,105428.10539820905
2019-01-29 00:00:00+00:00,100000.0,105288.18915160248
2019-01-30 00:00:00+00:00,100000.0,106955.01422002318
2019-01-31 00:00:00+00:00,100000.0,107894.31844043224
2019-02-01 00:00:00+00:00,100000.0,107946.27057955816
2019-02-04 00:00:00+00:00,100000.0,108705.7604013705
2019-02-05 00:00:00+00:00,100000.0,109161.39157009046
2019-02-06 00:00:00+00:00,100000.0,109017.50050759013
2019-02-07 00:00:00+00:00,100000.0,107978.273642689
2019-02-08 00:00:00+00:00,100000.0,108110.18571457986
2019-02-11 00:00:00+00:00,100000.0,108170.13521055547
2019-02-12 00:00:00+00:00,100000.0,109561.12987312088
2019-02-13 00:00:00+00:00,100000.0,109916.87248667891
2019-02-14 00:00:00+00:00,100000.0,109673.01787249037
2019-02-15 00:00:00+00:00,100000.0,110868.18978702759
2019-02-19 00:00:00+00:00,100000.0,111060.04453702804
2019-02-20 00:00:00+00:00,100000.0,111283.8955322933
2019-02-21 00:00:00+00:00,100000.0,110888.20704168294
2019-02-22 00:00:00+00:00,100000.0,111575.7001982499
2019-02-25 00:00:00+00:00,100000.0,111727.56816400186
2019-02-26 00:00:00+00:00,100000.0,111647.63550270103
2019-02-27 00:00:00+00:00,100000.0,111599.68545093297
2019-02-28 00:00:00+00:00,100000.0,111391.78144430491
2019-03-01 00:00:00+00:00,100000.0,112087.34013638187
2019-03-04 00:00:00+00:00,100000.0,111679.59765863571
2019-03-05 00:00:00+00:00,100000.0,111527.70242141966
2019-03-06 00:00:00+00:00,100000.0,110852.1950733282
2019-03-07 00:00:00+00:00,100000.0,109924.87666139464
2019-03-08 00:00:00+00:00,100000.0,109705.01411775518
2019-03-11 00:00:00+00:00,100000.0,111295.88815863483
2019-03-12 00:00:00+00:00,100000.0,111715.58235552635
2019-03-13 00:00:00+00:00,100000.0,112455.02083335322
2019-03-14 00:00:00+00:00,100000.0,112383.09234676811
2019-03-15 00:00:00+00:00,100000.0,112938.34617387495
2019-03-18 00:00:00+00:00,100000.0,113347.834025324
2019-03-19 00:00:00+00:00,100000.0,113375.95090481946
2019-03-20 00:00:00+00:00,100000.0,113034.68943870282
2019-03-21 00:00:00+00:00,100000.0,114311.38257732517
2019-03-22 00:00:00+00:00,100000.0,112111.30493546685
2019-03-25 00:00:00+00:00,100000.0,112027.02929350681
2019-03-26 00:00:00+00:00,100000.0,112862.0406173005
2019-03-27 00:00:00+00:00,100000.0,112271.87249826928
2019-03-28 00:00:00+00:00,100000.0,112697.47778500622
2019-03-29 00:00:00+00:00,100000.0,113408.08350740482
2019-04-01 00:00:00+00:00,100000.0,114752.98939562753
2019-04-02 00:00:00+00:00,100000.0,114809.22315461843
2019-04-03 00:00:00+00:00,100000.0,114989.86933287044
2019-04-04 00:00:00+00:00,100000.0,115294.9824733118
2019-04-05 00:00:00+00:00,100000.0,115853.01117189163
2019-04-08 00:00:00+00:00,100000.0,115941.32980840569
2019-04-09 00:00:00+00:00,100000.0,115347.18005561469
2019-04-10 00:00:00+00:00,100000.0,115740.61183257012
2019-04-11 00:00:00+00:00,100000.0,115708.47241211873
2019-04-12 00:00:00+00:00,100000.0,116491.3543322698
2019-04-15 00:00:00+00:00,100000.0,116415.0896828915
2019-04-16 00:00:00+00:00,100000.0,116491.3543322698
2019-04-17 00:00:00+00:00,100000.0,116206.32662514405
2019-04-18 00:00:00+00:00,100000.0,116435.1205732789
2019-04-22 00:00:00+00:00,100000.0,116535.5068326608
2019-04-23 00:00:00+00:00,100000.0,117583.38556955021
2019-04-24 00:00:00+00:00,100000.0,117322.4112937678
2019-04-25 00:00:00+00:00,100000.0,117250.14191388135
2019-04-26 00:00:00+00:00,100000.0,117796.15753252157
2019-04-29 00:00:00+00:00,100000.0,117980.7717088013
2019-04-30 00:00:00+00:00,100000.0,118041.02800874814
2019-05-01 00:00:00+00:00,100000.0,117153.77819545541
2019-05-02 00:00:00+00:00,100000.0,116900.9035445131
2019-05-03 00:00:00+00:00,100000.0,118045.07782116819
2019-05-06 00:00:00+00:00,100000.0,117559.31850247482
2019-05-07 00:00:00+00:00,100000.0,115596.07307279723
2019-05-08 00:00:00+00:00,100000.0,115435.47142066465
2019-05-09 00:00:00+00:00,100000.0,115086.24668702846
2019-05-10 00:00:00+00:00,100000.0,115664.37445465595
2019-05-13 00:00:00+00:00,100000.0,112757.6931777569
2019-05-14 00:00:00+00:00,100000.0,113777.38003862457
2019-05-15 00:00:00+00:00,100000.0,114443.85371423024
2019-05-16 00:00:00+00:00,100000.0,115503.73189532722
2019-05-17 00:00:00+00:00,100000.0,114757.01193658348
2019-05-20 00:00:00+00:00,100000.0,113998.23117283794
2019-05-21 00:00:00+00:00,100000.0,115025.97675134956
2019-05-22 00:00:00+00:00,100000.0,114672.68856956126
2019-05-23 00:00:00+00:00,100000.0,113271.56937594572
2019-05-24 00:00:00+00:00,100000.0,113528.45974997795
2019-05-28 00:00:00+00:00,100000.0,112472.62456343499
2019-05-29 00:00:00+00:00,100000.0,111717.85952277937
2019-05-30 00:00:00+00:00,100000.0,112022.95902748869
2019-05-31 00:00:00+00:00,100000.0,110513.40849257937
2019-06-03 00:00:00+00:00,100000.0,110232.41696214162
2019-06-04 00:00:00+00:00,100000.0,112625.1606800576
2019-06-05 00:00:00+00:00,100000.0,113600.77685492659
2019-06-06 00:00:00+00:00,100000.0,114339.43809602637
2019-06-07 00:00:00+00:00,100000.0,115483.66009774366
2019-06-10 00:00:00+00:00,100000.0,116013.62645975625
2019-06-11 00:00:00+00:00,100000.0,115985.50958026081
2019-06-12 00:00:00+00:00,100000.0,115780.75542773724
2019-06-13 00:00:00+00:00,100000.0,116258.51057171488
2019-06-14 00:00:00+00:00,100000.0,116130.04834003371
2019-06-17 00:00:00+00:00,100000.0,116174.22811188882
2019-06-18 00:00:00+00:00,100000.0,117390.65813269831
2019-06-19 00:00:00+00:00,100000.0,117655.62767797254
2019-06-20 00:00:00+00:00,100000.0,118779.7574285082
2019-06-21 00:00:00+00:00,100000.0,118607.11542497191
2019-06-24 00:00:00+00:00,100000.0,118461.85397140014
2019-06-25 00:00:00+00:00,100000.0,117300.04869319916
2019-06-26 00:00:00+00:00,100000.0,117183.01320497927
2019-06-27 00:00:00+00:00,100000.0,117598.52123213021
2019-06-28 00:00:00+00:00,100000.0,118203.66138495677
2019-07-01 00:00:00+00:00,100000.0,119276.82076907437
2019-07-02 00:00:00+00:00,100000.0,119587.38820233736
2019-07-03 00:00:00+00:00,100000.0,120543.5666411633
2019-07-05 00:00:00+00:00,100000.0,120406.35026950343
2019-07-08 00:00:00+00:00,100000.0,119744.77182170517
2019-07-09 00:00:00+00:00,100000.0,119894.01490903672
2019-07-10 00:00:00+00:00,100000.0,120466.87928409134
2019-07-11 00:00:00+00:00,100000.0,120749.27529493066
2019-07-12 00:00:00+00:00,100000.0,121289.90479940952
2019-07-15 00:00:00+00:00,100000.0,121330.19838762922
2019-07-16 00:00:00+00:00,100000.0,120938.88014914218
2019-07-17 00:00:00+00:00,100000.0,120115.89554102017
2019-07-18 00:00:00+00:00,100000.0,120555.63426403113
2019-07-19 00:00:00+00:00,100000.0,119885.95619139278
2019-07-22 00:00:00+00:00,100000.0,120180.47436802814
2019-07-23 00:00:00+00:00,100000.0,121039.74365914597
2019-07-24 00:00:00+00:00,100000.0,121608.64003617287
2019-07-25 00:00:00+00:00,100000.0,121027.66240054609
2019-07-26 00:00:00+00:00,100000.0,121838.55211433615
2019-07-29 00:00:00+00:00,100000.0,121616.6714823527
2019-07-30 00:00:00+00:00,100000.0,121318.06258610112
2019-07-31 00:00:00+00:00,100000.0,119990.82860662045
2019-08-01 00:00:00+00:00,100000.0,118945.97700224703
2019-08-02 00:00:00+00:00,100000.0,118050.34121374105
2019-08-05 00:00:00+00:00,100000.0,114500.25110200577
